geography_id,country,state_code,state_name,county_fips,county_name,metro_area,region,division,latitude,longitude,population,area_sq_miles,effective_date,expiration_date,is_current
AK001,USA,AK,Alaska,2020,Anchorage Municipality,Anchorage,West,Pacific,61.2181,-149.9003,291247,1961,1/1/2019,1/1/2025,1
AL001,USA,AL,Alabama,1073,Jefferson County,Birmingham-Hoover,South,East South Central,33.5207,-86.8025,674721,1111,1/1/2019,1/1/2025,1
AR001,USA,AR,Arkansas,5119,Pulaski County,Little Rock-North Little Rock-Conway,South,West South Central,34.7465,-92.2896,395760,774,1/1/2019,1/2/2025,1
AZ001,USA,AZ,Arizona,4013,Maricopa County,Phoenix-Mesa-Scottsdale,West,Mountain,33.4484,-112.074,4485414,9224,1/1/2019,1/3/2025,1
CA001,USA,CA,California,6037,Los Angeles County,Los Angeles-Long Beach-Anaheim,West,Pacific,34.0522,-118.2437,10014009,4751,1/1/2019,1/4/2025,1
CA002,USA,CA,California,6073,San Diego County,San Diego-Carlsbad,West,Pacific,32.7157,-117.1611,3338330,4206,1/1/2019,1/5/2025,1
CA003,USA,CA,California,6075,San Francisco County,San Francisco-Oakland-Hayward,West,Pacific,37.7749,-122.4194,881549,47,1/1/2019,1/6/2025,1
CO001,USA,CO,Colorado,8031,Denver County,Denver-Aurora-Lakewood,West,Mountain,39.7392,-104.9903,715522,153,1/1/2019,1/7/2025,1
CT001,USA,CT,Connecticut,9001,Fairfield County,Bridgeport-Stamford-Norwalk,Northeast,New England,41.3083,-73.0275,957419,626,1/1/2019,1/8/2025,1
DE001,USA,DE,Delaware,10003,New Castle County,Philadelphia-Camden-Wilmington,South,South Atlantic,39.7391,-75.5398,570719,426,1/1/2019,1/9/2025,1
FL001,USA,FL,Florida,12086,Miami-Dade County,Miami-Fort Lauderdale-West Palm Beach,South,South Atlantic,25.7617,-80.1918,2716940,1946,1/1/2019,1/10/2025,1
FL002,USA,FL,Florida,12095,Orange County,Orlando-Kissimmee-Sanford,South,South Atlantic,28.5383,-81.3792,1393452,907,1/1/2019,1/11/2025,1
FL003,USA,FL,Florida,12103,Pinellas County,Tampa-St. Petersburg-Clearwater,South,South Atlantic,27.7663,-82.6404,959107,280,1/1/2019,1/12/2025,1
GA001,USA,GA,Georgia,13135,Gwinnett County,Atlanta-Sandy Springs-Roswell,South,South Atlantic,33.749,-84.388,957062,430,1/1/2019,1/13/2025,1
HI001,USA,HI,Hawaii,15003,Honolulu County,Urban Honolulu,West,Pacific,21.3099,-157.8581,1016508,596,1/1/2019,1/14/2025,1
IA001,USA,IA,Iowa,19153,Polk County,Des Moines-West Des Moines,Midwest,West North Central,41.5868,-93.625,492401,569,1/1/2019,1/15/2025,1
ID001,USA,ID,Idaho,16001,Ada County,Boise City,West,Mountain,43.615,-116.2023,481587,1055,1/1/2019,1/16/2025,1
IL001,USA,IL,Illinois,17031,Cook County,Chicago-Naperville-Elgin,Midwest,East North Central,41.8781,-87.6298,5275541,946,1/1/2019,1/17/2025,1
IN001,USA,IN,Indiana,18097,Marion County,Indianapolis-Carmel-Anderson,Midwest,East North Central,39.7684,-86.1581,977203,396,1/1/2019,1/18/2025,1
KS001,USA,KS,Kansas,20091,Johnson County,Kansas City,Midwest,West North Central,38.9072,-94.7203,597511,477,1/1/2019,1/19/2025,1
