statistic_id,date_id,geography_id,demographic_id,industry_id,labor_force,employed,unemployed,unemployment_rate,participation_rate,employment_population_ratio,created_date
1,20190101,CA001,DM001,IND001,1250000,1200000,50000,4,65.2,,1/1/2025
2,20190101,TX001,DM002,IND002,890000,850000,40000,4.5,68.1,,1/1/2025
3,20190101,NY001,DM003,IND003,2100000,2010000,90000,4.3,62.8,,1/1/2025
4,20190101,FL001,DM004,IND004,1680000,1620000,60000,3.6,63.5,,1/1/2025
5,20190101,IL001,DM005,IND005,950000,905000,45000,4.7,64.2,,1/1/2025
6,20190101,PA001,DM006,IND006,1420000,1358000,62000,4.4,63.1,,1/1/2025
7,20190101,OH001,DM007,IND007,1180000,1127000,53000,4.5,64.8,,1/1/2025
8,20190101,GA001,DM008,IND008,1050000,1008000,42000,4,65.3,,1/1/2025
9,20190101,NC001,DM009,IND009,980000,940000,40000,4.1,66.2,,1/1/2025
10,20190101,MI001,DM010,IND010,890000,850000,40000,4.5,63.7,,1/1/2025
11,20190201,CA001,DM001,IND001,1255000,1208000,47000,3.7,65.4,,1/1/2025
12,20190201,TX001,DM002,IND002,892000,855000,37000,4.1,68.3,,1/1/2025
13,20190201,NY001,DM003,IND003,2105000,2020000,85000,4,63.1,,1/1/2025
14,20190201,FL001,DM004,IND004,1685000,1628000,57000,3.4,63.7,,1/1/2025
15,20190201,IL001,DM005,IND005,952000,910000,42000,4.4,64.4,,1/1/2025
16,20190201,PA001,DM006,IND006,1425000,1365000,60000,4.2,63.3,,1/1/2025
17,20190201,OH001,DM007,IND007,1185000,1135000,50000,4.2,65,,1/1/2025
18,20190201,GA001,DM008,IND008,1055000,1015000,40000,3.8,65.5,,1/1/2025
19,20190201,NC001,DM009,IND009,985000,948000,37000,3.8,66.4,,1/1/2025
20,20190201,MI001,DM010,IND010,895000,858000,37000,4.1,63.9,,1/1/2025
21,20190301,CA001,DM011,IND011,1260000,1215000,45000,3.6,65.6,,1/1/2025
22,20190301,TX001,DM012,IND012,895000,860000,35000,3.9,68.5,,1/1/2025
23,20190301,NY001,DM013,IND013,2110000,2028000,82000,3.9,63.3,,1/1/2025
24,20190301,FL001,DM014,IND014,1690000,1635000,55000,3.3,63.9,,1/1/2025
25,20190301,IL001,DM015,IND015,955000,915000,40000,4.2,64.6,,1/1/2025
